epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97414,1.03471,3.0898,1.41167,0.00339,1,0.1888,0.11219,0.48956,3.08505,1.03413,6.668e-05,6.668e-05,6.668e-05
2,21.9347,0.96593,3.03793,1.37165,0.00331,1,0.51052,0.44983,0.37222,3.04408,0.92932,0.000147059,0.000147059,0.000147059
3,33.4084,0.73386,2.21605,1.17448,0.00342,1,0.90994,0.79928,0.41877,2.84068,0.92901,0.000224138,0.000224138,0.000224138
4,45.0349,0.7546,1.67337,1.20756,0.00334,1,0.88127,0.74805,0.56153,2.89113,1.04901,0.000297916,0.000297916,0.000297916
5,57.327,0.70163,1.31995,1.14486,0.0033,1,0.97219,0.88985,0.41372,2.66864,0.92324,0.000368394,0.000368394,0.000368394
6,69.8682,0.66821,1.09732,1.11545,1,0.38729,0.99038,0.72337,0.67489,2.63563,1.16119,0.00043557,0.00043557,0.00043557
7,82.6361,0.63643,1.01498,1.08809,0.3456,0.60182,0.4792,0.35616,0.81021,3.03149,1.30359,0.000499447,0.000499447,0.000499447
8,95.7192,0.67198,0.98938,1.10983,0.41481,0.625,0.67209,0.42205,0.78246,2.89319,1.2925,0.000560022,0.000560022,0.000560022
9,109.01,0.66664,0.98047,1.1092,1,0.77393,0.99147,0.83493,0.55362,2.09416,1.11954,0.000617297,0.000617297,0.000617297
10,122.609,0.58822,0.85826,1.0308,0.91567,0.93814,0.9586,0.81501,0.54365,1.90728,1.0723,0.000671271,0.000671271,0.000671271
11,131.083,0.6642,0.93232,1.09514,0.83741,0.95362,0.98713,0.85819,0.58677,1.57003,1.0905,0.000721944,0.000721944,0.000721944
12,139.408,0.64427,0.8653,1.07258,0.97509,0.97428,0.995,0.89112,0.51867,1.42829,0.99046,0.000769317,0.000769317,0.000769317
13,147.753,0.63794,0.83669,1.07344,0.97531,0.97477,0.9942,0.8955,0.48019,1.17815,0.98508,0.000813389,0.000813389,0.000813389
14,156.366,0.65979,0.84419,1.08147,0.9701,1,0.995,0.91126,0.49235,1.19743,1.00603,0.000854161,0.000854161,0.000854161
15,165.209,0.66097,0.84879,1.1054,0.96601,1,0.995,0.83625,0.68018,1.24315,1.08693,0.000891632,0.000891632,0.000891632
16,174.019,0.6087,0.78178,1.04095,0.94807,0.98618,0.98971,0.88396,0.45834,1.05395,0.94196,0.000925802,0.000925802,0.000925802
17,183.08,0.60662,0.74487,1.05071,0.99671,0.98363,0.995,0.88979,0.48522,0.984,0.95699,0.000956671,0.000956671,0.000956671
18,192.477,0.59118,0.76568,1.04778,0.88738,1,0.97909,0.78689,0.54928,1.33652,1.02884,0.00098424,0.00098424,0.00098424
19,202.122,0.58012,0.74871,1.04056,0.98282,1,0.995,0.89432,0.49484,0.9339,0.98235,0.00100851,0.00100851,0.00100851
20,212.962,0.59876,0.70649,1.0444,0.99372,1,0.995,0.88414,0.53556,0.9214,1.0237,0.00102948,0.00102948,0.00102948
21,224.12,0.57503,0.69204,1.03496,0.87541,1,0.995,0.88841,0.5146,0.95484,0.97282,0.00100687,0.00100687,0.00100687
22,235.33,0.58195,0.68432,1.04299,0.92272,0.90493,0.99192,0.91098,0.41482,0.98283,0.92899,0.000973861,0.000973861,0.000973861
23,247.239,0.56333,0.65583,1.04197,0.92382,0.86671,0.995,0.91021,0.41358,0.96512,0.92731,0.000940855,0.000940855,0.000940855
24,255.684,0.54502,0.62048,1.00487,0.91912,0.95833,0.97045,0.86713,0.4793,0.98306,0.97141,0.000907848,0.000907848,0.000907848
25,264.112,0.51596,0.58774,1.0083,0.90966,0.9375,0.9568,0.82555,0.54023,1.0407,0.99226,0.000874842,0.000874842,0.000874842
26,272.741,0.57851,0.61083,1.03749,0.99071,1,0.995,0.81464,0.53671,0.88017,0.95796,0.000841835,0.000841835,0.000841835
27,281.71,0.54255,0.58991,1.00445,0.99611,1,0.995,0.90589,0.44915,0.67223,0.952,0.000808828,0.000808828,0.000808828
28,291.115,0.50964,0.56868,0.98233,0.99363,1,0.995,0.91977,0.42605,0.65777,0.95763,0.000775822,0.000775822,0.000775822
29,300.609,0.55303,0.55618,1.02661,0.99063,1,0.995,0.91832,0.41565,0.59464,0.94122,0.000742815,0.000742815,0.000742815
30,310.066,0.55146,0.54546,1.0225,0.99509,1,0.995,0.91724,0.39494,0.54572,0.90786,0.000709809,0.000709809,0.000709809
31,321.009,0.52081,0.55752,1.01575,0.99353,1,0.995,0.91184,0.41872,0.53782,0.94335,0.000676802,0.000676802,0.000676802
32,331.891,0.53652,0.53491,1.00836,0.99623,1,0.995,0.91066,0.39705,0.47542,0.91687,0.000643795,0.000643795,0.000643795
33,343.645,0.49407,0.51963,0.99853,0.99595,1,0.995,0.91723,0.41157,0.48216,0.92415,0.000610789,0.000610789,0.000610789
34,354.99,0.49022,0.49159,0.99512,0.9924,1,0.995,0.90399,0.39946,0.48119,0.89602,0.000577782,0.000577782,0.000577782
35,367.472,0.49763,0.46838,0.97765,0.99473,1,0.995,0.91318,0.41107,0.4785,0.90758,0.000544776,0.000544776,0.000544776
36,379.607,0.483,0.47574,0.97573,0.99658,1,0.995,0.92517,0.38402,0.42172,0.89674,0.000511769,0.000511769,0.000511769
37,387.973,0.48121,0.46421,0.97784,0.99592,1,0.995,0.93063,0.37549,0.41545,0.89891,0.000478762,0.000478762,0.000478762
38,396.68,0.50163,0.49843,0.99497,0.99545,1,0.995,0.90992,0.41587,0.4485,0.90882,0.000445756,0.000445756,0.000445756
39,405.377,0.5157,0.47359,0.99151,0.99586,1,0.995,0.91798,0.40122,0.4488,0.90249,0.000412749,0.000412749,0.000412749
40,414.15,0.48818,0.45736,0.99261,0.99608,1,0.995,0.94324,0.37115,0.41676,0.88259,0.000379743,0.000379743,0.000379743
41,423.277,0.34891,0.584,0.91796,0.99364,1,0.995,0.92336,0.40048,0.5489,0.88487,0.000346736,0.000346736,0.000346736
42,432.526,0.34634,0.59542,0.91058,0.99045,1,0.995,0.93186,0.37268,0.56732,0.87018,0.000313729,0.000313729,0.000313729
43,442.715,0.33889,0.55444,0.90847,0.99507,1,0.995,0.92802,0.36447,0.44081,0.86699,0.000280723,0.000280723,0.000280723
44,453.308,0.33469,0.51435,0.89379,0.99609,1,0.995,0.93471,0.39098,0.43181,0.87596,0.000247716,0.000247716,0.000247716
45,463.85,0.3379,0.51205,0.92054,0.99561,1,0.995,0.93868,0.37757,0.44885,0.8693,0.00021471,0.00021471,0.00021471
46,475.395,0.32455,0.49663,0.8888,0.99479,1,0.995,0.9435,0.36673,0.42247,0.86599,0.000181703,0.000181703,0.000181703
47,487.056,0.31641,0.482,0.90846,0.99726,1,0.995,0.93331,0.36317,0.39124,0.86488,0.000148696,0.000148696,0.000148696
48,498.666,0.31212,0.46865,0.88664,0.99706,1,0.995,0.93205,0.37107,0.37157,0.865,0.00011569,0.00011569,0.00011569
49,510.909,0.3214,0.44634,0.87697,0.99686,1,0.995,0.93872,0.36447,0.3536,0.86182,8.26832e-05,8.26832e-05,8.26832e-05
50,518.955,0.31177,0.44537,0.89407,0.9967,1,0.995,0.94536,0.35517,0.34614,0.85939,4.96766e-05,4.96766e-05,4.96766e-05
